# META firmware=d8a4e75;board=ESP32-DevKitC-32E;fr_tl_07=disabled
t_ms,decel_ms2,brake_light_pct,fsm_state,imu_health
10810,4.324,82,2,0
10820,4.328,82,2,0
10830,4.332,82,2,0
10840,4.336,82,2,0
10850,4.340,82,2,0
10860,4.344,83,2,0
10870,4.348,83,2,0
10880,4.352,83,2,0
10890,4.356,83,2,0
10900,4.360,83,2,0
10910,4.364,83,2,0
10920,4.368,83,2,0
10930,4.372,83,2,0
10940,4.376,83,2,0
10950,4.380,83,2,0
10960,4.384,84,2,0
10970,4.388,84,2,0
10980,4.392,84,2,0
10990,4.396,84,2,0
11000,4.400,84,2,0
11010,4.404,84,2,0
11020,4.408,84,2,0
11030,4.412,84,2,0
11040,4.416,84,2,0
11050,4.420,85,2,0
11060,4.424,85,2,0
11070,4.428,85,2,0
11080,4.432,85,2,0
11090,4.436,85,2,0
11100,4.440,85,2,0
11110,4.444,85,2,0
11120,4.448,85,2,0
11130,4.452,85,2,0
11140,4.456,85,2,0
11150,4.460,86,2,0
11160,4.464,86,2,0
11170,4.468,86,2,0
11180,4.472,86,2,0
11190,4.476,86,2,0
11200,4.480,86,2,0
11210,4.484,86,2,0
11220,4.488,86,2,0
11230,4.492,86,2,0
11240,4.496,87,2,0
11250,4.500,87,2,0
11260,4.504,87,2,0
11270,4.508,87,2,0
11280,4.512,87,2,0
11290,4.516,87,2,0
11300,4.520,87,2,0
11310,4.524,87,2,0
11320,4.528,87,2,0
11330,4.532,88,2,0
11340,4.536,88,2,0
11350,4.540,88,2,0
11360,4.544,88,2,0
11370,4.548,88,2,0
11380,4.552,88,2,0
11390,4.556,88,2,0
11400,4.560,88,2,0
11410,4.564,88,2,0
11420,4.568,88,2,0
11430,4.572,89,2,0
11440,4.576,89,2,0
11450,4.580,89,2,0
11460,4.584,89,2,0
11470,4.588,89,2,0
11480,4.592,89,2,0
11490,4.596,89,2,0
11500,4.600,89,2,0
11510,4.604,89,2,0
11520,4.608,90,2,0
11530,4.612,90,2,0
11540,4.616,90,2,0
11550,4.620,90,2,0
11560,4.624,90,2,0
11570,4.628,90,2,0
11580,4.632,90,2,0
11590,4.636,90,2,0
11600,4.640,90,2,0
11610,4.644,91,2,0
11620,4.648,91,2,0
11630,4.652,91,2,0
11640,4.656,91,2,0
11650,4.660,91,2,0
11660,4.664,91,2,0
11670,4.668,91,2,0
11680,4.672,91,2,0
11690,4.676,91,2,0
11700,4.680,91,2,0
11710,4.684,92,2,0
11720,4.688,92,2,0
11730,4.692,92,2,0
11740,4.696,92,2,0
11750,4.700,92,2,0
11760,4.704,92,2,0
11770,4.708,92,2,0
11780,4.712,92,2,0
11790,4.716,92,2,0
11800,4.720,93,2,0
11810,4.724,93,2,0
11820,4.728,93,2,0
11830,4.732,93,2,0
11840,4.736,93,2,0
11850,4.740,93,2,0
11860,4.744,93,2,0
11870,4.748,93,2,0
11880,4.752,93,2,0
11890,4.756,93,2,0
11900,4.760,94,2,0
11910,4.764,94,2,0
11920,4.768,94,2,0
11930,4.772,94,2,0
11940,4.776,94,2,0
11950,4.780,94,2,0
11960,4.784,94,2,0
11970,4.788,94,2,0
11980,4.792,94,2,0
11990,4.796,95,2,0
12000,4.800,95,2,0
12010,4.804,95,2,0
12020,4.808,95,2,0
12030,4.812,95,2,0
12040,4.816,95,2,0
12050,4.820,95,2,0
12060,4.824,95,2,0
12070,4.828,95,2,0
12080,4.832,96,2,0
12090,4.836,96,2,0
12100,4.840,96,2,0
12110,4.844,96,2,0
12120,4.848,96,2,0
12130,4.852,96,2,0
12140,4.856,96,2,0
12150,4.860,96,2,0
12160,4.864,96,2,0
12170,4.868,96,2,0
12180,4.872,97,2,0
12190,4.876,97,2,0
12200,4.880,97,2,0
12210,4.884,97,2,0
12220,4.888,97,2,0
12230,4.892,97,2,0
12240,4.896,97,2,0
12250,4.900,97,2,0
12260,4.904,97,2,0
12270,4.908,98,2,0
12280,4.912,98,2,0
12290,4.916,98,2,0
12300,4.920,98,2,0
12310,4.924,98,2,0
12320,4.928,98,2,0
12330,4.932,98,2,0
12340,4.936,98,2,0
12350,4.940,98,2,0
12360,4.944,99,2,0
12370,4.948,99,2,0
12380,4.952,99,2,0
12390,4.956,99,2,0
12400,4.960,99,2,0
12410,4.964,99,2,0
12420,4.968,99,2,0
12430,4.972,99,2,0
12440,4.976,99,2,0
12450,4.980,99,2,0
12460,4.984,100,2,0
12470,4.988,100,2,0
12480,4.992,100,2,0
12490,4.996,100,2,0
12500,5.000,100,2,0
12510,5.004,100,2,0
12520,5.008,100,2,0
12530,5.012,100,2,0
12540,5.016,100,2,0
12550,5.020,100,2,0
12560,5.024,100,2,0
12570,5.028,100,2,0
12580,5.032,100,2,0
12590,5.036,100,2,0
12600,5.040,100,2,0
12610,5.044,100,2,0
12620,5.048,100,2,0
12630,5.052,100,2,0
12640,5.056,100,2,0
12650,5.060,100,2,0
12660,5.064,100,2,0
12670,5.068,100,2,0
12680,5.072,100,2,0
12690,5.076,100,2,0
12700,5.080,100,2,0
12710,5.084,100,2,0
12720,5.088,100,2,0
12730,5.092,100,2,0
12740,5.096,100,2,0
12750,5.100,100,2,0
12760,5.104,100,2,0
12770,5.108,100,2,0
12780,5.112,100,2,0
12790,5.116,100,2,0
12800,5.120,100,2,0
12810,5.124,100,2,0
12820,5.128,100,2,0
12830,5.132,100,2,0
12840,5.136,100,2,0
12850,5.140,100,2,0
12860,5.144,100,2,0
12870,5.148,100,2,0
12880,5.152,100,2,0
12890,5.156,100,2,0
12900,5.160,100,2,0
12910,5.164,100,2,0
12920,5.168,100,2,0
12930,5.172,100,2,0
12940,5.176,100,2,0
12950,5.180,100,2,0
12960,5.184,100,2,0
12970,5.188,100,2,0
12980,5.192,100,2,0
12990,5.196,100,2,0
13000,5.200,100,2,0
13010,5.204,100,2,0
13020,5.208,100,2,0
13030,5.212,100,2,0
13040,5.216,100,2,0
13050,5.220,100,2,0
13060,5.224,100,2,0
13070,5.228,100,2,0
13080,5.232,100,2,0
13090,5.236,100,2,0
13100,5.240,100,2,0
13110,5.244,100,2,0
13120,5.248,100,2,0
13130,5.252,100,2,0
13140,5.256,100,2,0
13150,5.260,100,2,0
13160,5.264,100,2,0
13170,5.268,100,2,0
13180,5.272,100,2,0
13190,5.276,100,2,0
13200,5.280,100,2,0
13210,5.284,100,2,0
13220,5.288,100,2,0
13230,5.292,100,2,0
13240,5.296,100,2,0
13250,5.300,100,2,0
13260,5.304,100,2,0
13270,5.308,100,2,0
13280,5.312,100,2,0
13290,5.316,100,2,0
13300,5.320,100,2,0
13310,5.324,100,2,0
13320,5.328,100,2,0
13330,5.332,100,2,0
13340,5.336,100,2,0
13350,5.340,100,2,0
13360,5.344,100,2,0
13370,5.348,100,2,0
13380,5.352,100,2,0
13390,5.356,100,2,0
13400,5.360,100,2,0
13410,5.364,100,2,0
13420,5.368,100,2,0
13430,5.372,100,2,0
13440,5.376,100,2,0
13450,5.380,100,2,0
13460,5.384,100,2,0
13470,5.388,100,2,0
13480,5.392,100,2,0
13490,5.396,100,2,0
13500,5.400,100,2,0
13510,5.404,100,2,0
13520,5.408,100,2,0
13530,5.412,100,2,0
13540,5.416,100,2,0
13550,5.420,100,2,0
13560,5.424,100,2,0
13570,5.428,100,2,0
13580,5.432,100,2,0
13590,5.436,100,2,0
13600,5.440,100,2,0
13610,5.444,100,2,0
13620,5.448,100,2,0
13630,5.452,100,2,0
13640,5.456,100,2,0
13650,5.460,100,2,0
13660,5.464,100,2,0
13670,5.468,100,2,0
13680,5.472,100,2,0
13690,5.476,100,2,0
13700,5.480,100,2,0
13710,5.484,100,2,0
