# META firmware=d8a4e75;board=ESP32-DevKitC-32E;fr_tl_07=disabled
t_ms,decel_ms2,brake_light_pct,fsm_state,imu_health
3600,1.440,20,1,2
3610,1.444,20,1,2
3620,1.448,20,1,2
3630,1.452,20,1,2
3640,1.456,20,1,2
3650,1.460,20,1,2
3660,1.464,20,1,2
3670,1.468,20,1,2
3680,1.472,20,1,2
3690,1.476,20,1,2
3700,1.480,20,1,2
3710,1.484,20,1,2
3720,1.488,20,1,2
3730,1.492,20,1,2
3740,1.496,20,1,2
3750,1.500,20,1,2
3760,1.504,20,1,2
3770,1.508,20,1,2
3780,1.512,20,1,2
3790,1.516,20,1,2
3800,1.520,20,1,2
3810,1.524,20,1,2
3820,1.528,20,1,2
3830,1.532,20,1,2
3840,1.536,20,1,2
3850,1.540,20,1,2
3860,1.544,20,1,2
3870,1.548,20,1,2
3880,1.552,20,1,2
3890,1.556,20,1,2
3900,1.560,20,1,2
3910,1.564,20,1,2
3920,1.568,20,1,2
3930,1.572,20,1,2
3940,1.576,20,1,2
3950,1.580,20,1,2
3960,1.584,20,1,2
3970,1.588,20,1,2
3980,1.592,20,1,2
3990,1.596,20,1,2
4000,1.600,20,1,2
4010,1.604,20,1,2
4020,1.608,20,1,2
4030,1.612,20,1,2
4040,1.616,20,1,2
4050,1.620,20,1,2
4060,1.624,20,1,2
4070,1.628,20,1,2
4080,1.632,20,1,2
4090,1.636,20,1,2
4100,1.640,20,1,2
4110,1.644,20,1,2
4120,1.648,20,1,2
4130,1.652,20,1,2
4140,1.656,20,1,2
4150,1.660,20,1,2
4160,1.664,20,1,2
4170,1.668,20,1,2
4180,1.672,20,1,2
4190,1.676,20,1,2
4200,1.680,20,1,2
4210,1.684,20,1,2
4220,1.688,20,1,2
4230,1.692,20,1,2
4240,1.696,20,1,2
4250,1.700,20,1,2
4260,1.704,20,1,2
4270,1.708,20,1,2
4280,1.712,20,1,2
4290,1.716,20,1,2
4300,1.720,20,1,2
4310,1.724,20,1,2
4320,1.728,20,1,2
4330,1.732,20,1,2
4340,1.736,20,1,2
4350,1.740,20,1,2
4360,1.744,20,1,2
4370,1.748,20,1,2
4380,1.752,20,1,2
4390,1.756,20,1,2
4400,1.760,20,1,2
4410,1.764,20,1,2
4420,1.768,20,1,2
4430,1.772,20,1,2
4440,1.776,20,1,2
4450,1.780,20,1,2
4460,1.784,20,1,2
4470,1.788,20,1,2
4480,1.792,20,1,2
4490,1.796,20,1,2
4500,1.800,20,1,2
4510,1.804,20,1,2
4520,1.808,20,1,2
4530,1.812,20,1,2
4540,1.816,20,1,2
4550,1.820,20,1,2
4560,1.824,20,1,2
4570,1.828,20,1,2
4580,1.832,20,1,2
4590,1.836,20,1,2
4600,1.840,20,1,2
4610,1.844,20,1,2
4620,1.848,20,1,2
4630,1.852,20,1,2
4640,1.856,20,1,2
4650,1.860,20,1,2
4660,1.864,20,1,2
4670,1.868,20,1,2
4680,1.872,20,1,2
4690,1.876,20,1,2
4700,1.880,20,1,2
4710,1.884,20,1,2
4720,1.888,20,1,2
4730,1.892,20,1,2
4740,1.896,20,1,2
4750,1.900,20,1,2
4760,1.904,20,1,2
4770,1.908,20,1,2
4780,1.912,20,1,2
4790,1.916,20,1,2
4800,1.920,20,1,2
4810,1.924,20,1,2
4820,1.928,20,1,2
4830,1.932,20,1,2
4840,1.936,20,1,2
4850,1.940,20,1,2
4860,1.944,20,1,2
4870,1.948,20,1,2
4880,1.952,20,1,2
4890,1.956,20,1,2
4900,1.960,20,1,2
4910,1.964,20,1,2
4920,1.968,20,1,2
4930,1.972,20,1,2
4940,1.976,20,1,2
4950,1.980,20,1,2
4960,1.984,20,1,2
4970,1.988,20,1,2
4980,1.992,20,1,2
4990,1.996,20,1,2
5000,2.000,20,1,2
5010,2.004,20,1,2
5020,2.008,20,1,2
5030,2.012,20,1,2
5040,2.016,20,1,2
5050,2.020,20,1,2
5060,2.024,20,1,2
5070,2.028,20,1,2
5080,2.032,20,1,2
5090,2.036,20,1,2
5100,2.040,20,1,2
5110,2.044,20,1,2
5120,2.048,20,1,2
5130,2.052,20,1,2
5140,2.056,20,1,2
5150,2.060,20,1,2
5160,2.064,20,1,2
5170,2.068,20,1,2
5180,2.072,20,1,2
5190,2.076,20,1,2
5200,2.080,20,1,2
5210,2.084,20,1,2
5220,2.088,20,1,2
5230,2.092,20,1,2
5240,2.096,20,1,2
5250,2.100,20,1,2
5260,2.104,20,1,2
5270,2.108,20,1,2
5280,2.112,20,1,2
5290,2.116,20,1,2
5300,2.120,20,1,2
5310,2.124,20,1,2
5320,2.128,20,1,2
5330,2.132,20,1,2
5340,2.136,20,1,2
5350,2.140,20,1,2
5360,2.144,20,1,2
5370,2.148,20,1,2
5380,2.152,20,1,2
5390,2.156,20,1,2
5400,2.160,20,1,2
5410,2.164,20,1,2
5420,2.168,20,1,2
5430,2.172,20,1,2
5440,2.176,20,1,2
5450,2.180,20,1,2
5460,2.184,20,1,2
5470,2.188,20,1,2
5480,2.192,20,1,2
5490,2.196,20,1,2
5500,2.200,20,1,2
5510,2.204,20,1,2
5520,2.208,20,1,2
5530,2.212,20,1,2
5540,2.216,20,1,2
5550,2.220,20,1,2
5560,2.224,20,1,2
5570,2.228,20,1,2
5580,2.232,20,1,2
5590,2.236,20,1,2
5600,2.240,20,1,2
5610,2.244,20,1,2
5620,2.248,20,1,2
5630,2.252,20,1,2
5640,2.256,20,1,2
5650,2.260,20,1,2
5660,2.264,20,1,2
5670,2.268,20,1,2
5680,2.272,20,1,2
5690,2.276,20,1,2
5700,2.280,20,1,2
5710,2.284,20,1,2
5720,2.288,20,1,2
5730,2.292,20,1,2
5740,2.296,20,1,2
5750,2.300,20,1,2
5760,2.304,20,1,2
5770,2.308,20,1,2
5780,2.312,20,1,2
5790,2.316,20,1,2
5800,2.320,20,1,2
5810,2.324,20,1,2
5820,2.328,20,1,2
5830,2.332,20,1,2
5840,2.336,20,1,2
5850,2.340,20,1,2
5860,2.344,20,1,2
5870,2.348,20,1,2
5880,2.352,20,1,2
5890,2.356,20,1,2
5900,2.360,20,1,2
5910,2.364,20,1,2
5920,2.368,20,1,2
5930,2.372,20,1,2
5940,2.376,20,1,2
5950,2.380,20,1,2
5960,2.384,20,1,2
5970,2.388,20,1,2
5980,2.392,20,1,2
5990,2.396,20,1,2
6000,2.400,20,1,2
6010,2.404,20,1,2
6020,2.408,20,1,2
6030,2.412,20,1,2
6040,2.416,20,1,2
6050,2.420,20,1,2
6060,2.424,20,1,2
6070,2.428,20,1,2
6080,2.432,20,1,2
6090,2.436,20,1,2
6100,2.440,20,1,2
6110,2.444,20,1,2
6120,2.448,20,1,2
6130,2.452,20,1,2
6140,2.456,20,1,2
6150,2.460,20,1,2
6160,2.464,20,1,2
6170,2.468,20,1,2
6180,2.472,20,1,2
6190,2.476,20,1,2
6200,2.480,20,1,2
6210,2.484,20,1,2
6220,2.488,20,1,2
6230,2.492,20,1,2
6240,2.496,20,1,2
6250,2.500,20,1,2
6260,2.504,20,1,2
6270,2.508,20,1,2
6280,2.512,20,1,2
6290,2.516,20,1,2
6300,2.520,20,1,2
6310,2.524,20,1,2
6320,2.528,20,1,2
6330,2.532,20,1,2
6340,2.536,20,1,2
6350,2.540,20,1,2
6360,2.544,20,1,2
6370,2.548,20,1,2
6380,2.552,20,1,2
6390,2.556,20,1,2
6400,2.560,20,1,2
6410,2.564,20,1,2
6420,2.568,20,1,2
6430,2.572,20,1,2
6440,2.576,20,1,2
6450,2.580,20,1,2
6460,2.584,20,1,2
6470,2.588,20,1,2
6480,2.592,20,1,2
6490,2.596,20,1,2
